Flight_number,Fare_code,Amount,Restrictions
536,coach,402,refundable
536,coach,352,non-refundable
536,business,749,refundable
536,business,674,non-refundable
536,first_class,1051,refundable
536,first_class,951,non-refundable
1093,coach,445,refundable
1093,coach,395,non-refundable
1093,business,772,refundable
1093,business,697,non-refundable
1093,first_class,1029,refundable
1093,first_class,929,non-refundable
5817,coach,291,refundable
5817,coach,241,non-refundable
5817,business,626,refundable
5817,business,551,non-refundable
5817,first_class,1069,refundable
5817,first_class,969,non-refundable
1111,coach,254,refundable
1111,coach,204,non-refundable
1111,business,702,refundable
1111,business,627,non-refundable
1111,first_class,942,refundable
1111,first_class,842,non-refundable
4009,coach,404,refundable
4009,coach,354,non-refundable
4009,business,647,refundable
4009,business,572,non-refundable
4009,first_class,940,refundable
4009,first_class,840,non-refundable
2419,coach,266,refundable
2419,coach,216,non-refundable
2419,business,732,refundable
2419,business,657,non-refundable
2419,first_class,1094,refundable
2419,first_class,994,non-refundable
7027,coach,394,refundable
7027,coach,344,non-refundable
7027,business,755,refundable
7027,business,680,non-refundable
7027,first_class,1042,refundable
7027,first_class,942,non-refundable
5496,coach,378,refundable
5496,coach,328,non-refundable
5496,business,765,refundable
5496,business,690,non-refundable
5496,first_class,1067,refundable
5496,first_class,967,non-refundable
1486,coach,306,refundable
1486,coach,256,non-refundable
1486,business,672,refundable
1486,business,597,non-refundable
1486,first_class,934,refundable
1486,first_class,834,non-refundable
5222,coach,282,refundable
5222,coach,232,non-refundable
5222,business,583,refundable
5222,business,508,non-refundable
5222,first_class,993,refundable
5222,first_class,893,non-refundable
5075,coach,262,refundable
5075,coach,212,non-refundable
5075,business,579,refundable
5075,business,504,non-refundable
5075,first_class,984,refundable
5075,first_class,884,non-refundable
162,coach,288,refundable
162,coach,238,non-refundable
162,business,635,refundable
162,business,560,non-refundable
162,first_class,972,refundable
162,first_class,872,non-refundable
811,coach,341,refundable
811,coach,291,non-refundable
811,business,584,refundable
811,business,509,non-refundable
811,first_class,1059,refundable
811,first_class,959,non-refundable
4495,coach,324,refundable
4495,coach,274,non-refundable
4495,business,622,refundable
4495,business,547,non-refundable
4495,first_class,1068,refundable
4495,first_class,968,non-refundable
1182,coach,444,refundable
1182,coach,394,non-refundable
1182,business,601,refundable
1182,business,526,non-refundable
1182,first_class,1050,refundable
1182,first_class,950,non-refundable
199,coach,292,refundable
199,coach,242,non-refundable
199,business,758,refundable
199,business,683,non-refundable
199,first_class,1082,refundable
199,first_class,982,non-refundable
4447,coach,277,refundable
4447,coach,227,non-refundable
4447,business,708,refundable
4447,business,633,non-refundable
4447,first_class,1063,refundable
4447,first_class,963,non-refundable
8835,coach,361,refundable
8835,coach,311,non-refundable
8835,business,702,refundable
8835,business,627,non-refundable
8835,first_class,945,refundable
8835,first_class,845,non-refundable
1780,coach,314,refundable
1780,coach,264,non-refundable
1780,business,576,refundable
1780,business,501,non-refundable
1780,first_class,1017,refundable
1780,first_class,917,non-refundable
4452,coach,339,refundable
4452,coach,289,non-refundable
4452,business,694,refundable
4452,business,619,non-refundable
4452,first_class,929,refundable
4452,first_class,829,non-refundable
6273,coach,306,refundable
6273,coach,256,non-refundable
6273,business,631,refundable
6273,business,556,non-refundable
6273,first_class,991,refundable
6273,first_class,891,non-refundable
5358,coach,418,refundable
5358,coach,368,non-refundable
5358,business,765,refundable
5358,business,690,non-refundable
5358,first_class,975,refundable
5358,first_class,875,non-refundable
9449,coach,299,refundable
9449,coach,249,non-refundable
9449,business,714,refundable
9449,business,639,non-refundable
9449,first_class,1083,refundable
9449,first_class,983,non-refundable
3952,coach,405,refundable
3952,coach,355,non-refundable
3952,business,759,refundable
3952,business,684,non-refundable
3952,first_class,1010,refundable
3952,first_class,910,non-refundable
9851,coach,324,refundable
9851,coach,274,non-refundable
9851,business,589,refundable
9851,business,514,non-refundable
9851,first_class,922,refundable
9851,first_class,822,non-refundable
6259,coach,442,refundable
6259,coach,392,non-refundable
6259,business,732,refundable
6259,business,657,non-refundable
6259,first_class,976,refundable
6259,first_class,876,non-refundable
6836,coach,285,refundable
6836,coach,235,non-refundable
6836,business,763,refundable
6836,business,688,non-refundable
6836,first_class,1012,refundable
6836,first_class,912,non-refundable
281,coach,437,refundable
281,coach,387,non-refundable
281,business,731,refundable
281,business,656,non-refundable
281,first_class,984,refundable
281,first_class,884,non-refundable
8993,coach,349,refundable
8993,coach,299,non-refundable
8993,business,697,refundable
8993,business,622,non-refundable
8993,first_class,977,refundable
8993,first_class,877,non-refundable
4553,coach,443,refundable
4553,coach,393,non-refundable
4553,business,761,refundable
4553,business,686,non-refundable
4553,first_class,1044,refundable
4553,first_class,944,non-refundable
2541,coach,327,refundable
2541,coach,277,non-refundable
2541,business,660,refundable
2541,business,585,non-refundable
2541,first_class,1045,refundable
2541,first_class,945,non-refundable
393,coach,399,refundable
393,coach,349,non-refundable
393,business,656,refundable
393,business,581,non-refundable
393,first_class,1071,refundable
393,first_class,971,non-refundable
4280,coach,278,refundable
4280,coach,228,non-refundable
4280,business,699,refundable
4280,business,624,non-refundable
4280,first_class,940,refundable
4280,first_class,840,non-refundable
5352,coach,317,refundable
5352,coach,267,non-refundable
5352,business,775,refundable
5352,business,700,non-refundable
5352,first_class,1046,refundable
5352,first_class,946,non-refundable
4385,coach,300,refundable
4385,coach,250,non-refundable
4385,business,607,refundable
4385,business,532,non-refundable
4385,first_class,1055,refundable
4385,first_class,955,non-refundable
1992,coach,408,refundable
1992,coach,358,non-refundable
1992,business,774,refundable
1992,business,699,non-refundable
1992,first_class,922,refundable
1992,first_class,822,non-refundable
4655,coach,388,refundable
4655,coach,338,non-refundable
4655,business,732,refundable
4655,business,657,non-refundable
4655,first_class,1031,refundable
4655,first_class,931,non-refundable
1038,coach,340,refundable
1038,coach,290,non-refundable
1038,business,692,refundable
1038,business,617,non-refundable
1038,first_class,1054,refundable
1038,first_class,954,non-refundable
2114,coach,448,refundable
2114,coach,398,non-refundable
2114,business,607,refundable
2114,business,532,non-refundable
2114,first_class,1060,refundable
2114,first_class,960,non-refundable
1106,coach,324,refundable
1106,coach,274,non-refundable
1106,business,693,refundable
1106,business,618,non-refundable
1106,first_class,1081,refundable
1106,first_class,981,non-refundable
2958,coach,441,refundable
2958,coach,391,non-refundable
2958,business,758,refundable
2958,business,683,non-refundable
2958,first_class,1036,refundable
2958,first_class,936,non-refundable
731,coach,335,refundable
731,coach,285,non-refundable
731,business,626,refundable
731,business,551,non-refundable
731,first_class,1090,refundable
731,first_class,990,non-refundable
498,coach,393,refundable
498,coach,343,non-refundable
498,business,614,refundable
498,business,539,non-refundable
498,first_class,935,refundable
498,first_class,835,non-refundable
3951,coach,415,refundable
3951,coach,365,non-refundable
3951,business,601,refundable
3951,business,526,non-refundable
3951,first_class,1063,refundable
3951,first_class,963,non-refundable
2283,coach,392,refundable
2283,coach,342,non-refundable
2283,business,676,refundable
2283,business,601,non-refundable
2283,first_class,923,refundable
2283,first_class,823,non-refundable
6891,coach,301,refundable
6891,coach,251,non-refundable
6891,business,679,refundable
6891,business,604,non-refundable
6891,first_class,1020,refundable
6891,first_class,920,non-refundable
6644,coach,282,refundable
6644,coach,232,non-refundable
6644,business,694,refundable
6644,business,619,non-refundable
6644,first_class,1037,refundable
6644,first_class,937,non-refundable
7203,coach,441,refundable
7203,coach,391,non-refundable
7203,business,617,refundable
7203,business,542,non-refundable
7203,first_class,1072,refundable
7203,first_class,972,non-refundable
5299,coach,408,refundable
5299,coach,358,non-refundable
5299,business,704,refundable
5299,business,629,non-refundable
5299,first_class,1054,refundable
5299,first_class,954,non-refundable
260,coach,311,refundable
260,coach,261,non-refundable
260,business,704,refundable
260,business,629,non-refundable
260,first_class,957,refundable
260,first_class,857,non-refundable
1812,coach,305,refundable
1812,coach,255,non-refundable
1812,business,746,refundable
1812,business,671,non-refundable
1812,first_class,931,refundable
1812,first_class,831,non-refundable
5020,coach,297,refundable
5020,coach,247,non-refundable
5020,business,576,refundable
5020,business,501,non-refundable
5020,first_class,988,refundable
5020,first_class,888,non-refundable
2918,coach,403,refundable
2918,coach,353,non-refundable
2918,business,727,refundable
2918,business,652,non-refundable
2918,first_class,1026,refundable
2918,first_class,926,non-refundable
8490,coach,367,refundable
8490,coach,317,non-refundable
8490,business,703,refundable
8490,business,628,non-refundable
8490,first_class,1035,refundable
8490,first_class,935,non-refundable
8204,coach,320,refundable
8204,coach,270,non-refundable
8204,business,659,refundable
8204,business,584,non-refundable
8204,first_class,1047,refundable
8204,first_class,947,non-refundable
3695,coach,262,refundable
3695,coach,212,non-refundable
3695,business,766,refundable
3695,business,691,non-refundable
3695,first_class,991,refundable
3695,first_class,891,non-refundable
5364,coach,347,refundable
5364,coach,297,non-refundable
5364,business,706,refundable
5364,business,631,non-refundable
5364,first_class,1066,refundable
5364,first_class,966,non-refundable
6190,coach,362,refundable
6190,coach,312,non-refundable
6190,business,606,refundable
6190,business,531,non-refundable
6190,first_class,949,refundable
6190,first_class,849,non-refundable
4866,coach,379,refundable
4866,coach,329,non-refundable
4866,business,657,refundable
4866,business,582,non-refundable
4866,first_class,940,refundable
4866,first_class,840,non-refundable
9506,coach,445,refundable
9506,coach,395,non-refundable
9506,business,691,refundable
9506,business,616,non-refundable
9506,first_class,969,refundable
9506,first_class,869,non-refundable
59,coach,385,refundable
59,coach,335,non-refundable
59,business,677,refundable
59,business,602,non-refundable
